Через;42;0,0179202
comme;42;0,0179202
какая;42;0,0179202
повторил;42;0,0179202
никого;42;0,0179202
каким;42;0,0179202
сторону;42;0,0179202
Графиня;42;0,0179202
дом;42;0,0179202
почему;42;0,0179202
dans;42;0,0179202
хочет;42;0,0179202
должны;42;0,0179202
князем;41;0,0174935
княжне;41;0,0174935
офицера;41;0,0174935
гусар;41;0,0174935
легко;41;0,0174935
Богу;41;0,0174935
ближе;41;0,0174935
желал;41;0,0174935
слушал;41;0,0174935
одну;41;0,0174935
видал;41;0,0174935
Анны;41;0,0174935
Тушин;41;0,0174935
мало;40;0,0170668
тобой;40;0,0170668
слов;40;0,0170668
хочу;40;0,0170668
жены;40;0,0170668
оно;40;0,0170668
последнее;40;0,0170668
дорогу;40;0,0170668
равно;40;0,0170668
чувствовала;40;0,0170668
хотела;40;0,0170668
графу;40;0,0170668
сколько;40;0,0170668
успел;40;0,0170668
наши;39;0,0166401
самых;39;0,0166401
большой;39;0,0166401
право;39;0,0166401
почувствовал;39;0,0166401
неприятеля;39;0,0166401
адъютант;39;0,0166401
наших;39;0,0166401
прошу;39;0,0166401
далеко;39;0,0166401
дороге;39;0,0166401
Наташей;39;0,0166401
весьма;39;0,0166401
страх;38;0,0162135
Болконского;38;0,0162135
Багратиона;38;0,0162135
положении;38;0,0162135
Сперанский;38;0,0162135
руке;38;0,0162135
милая;38;0,0162135
начала;38;0,0162135
оглядываясь;38;0,0162135
Вера;38;0,0162135
tout;38;0,0162135
всеми;38;0,0162135
Петербург;38;0,0162135
улыбнулась;38;0,0162135
Ипполит;38;0,0162135
Несмотря;38;0,0162135
такого;38;0,0162135
скорее;38;0,0162135
Бога;38;0,0162135
прошел;38;0,0162135
маленькой;38;0,0162135
ночь;37;0,0157868
Отчего;37;0,0157868
хотите;37;0,0157868
поцеловал;37;0,0157868
минут;37;0,0157868
главнокомандующего;37;0,0157868
мысль;37;0,0157868
кабинет;37;0,0157868
офицеров;37;0,0157868
страшно;37;0,0157868
именно;37;0,0157868
жить;37;0,0157868
отвечая;37;0,0157868
самое;36;0,0153601
полка;36;0,0153601
руках;36;0,0153601
близко;36;0,0153601
делал;36;0,0153601
батюшка;36;0,0153601
самый;36;0,0153601
самой;36;0,0153601
командира;36;0,0153601
Билибин;36;0,0153601
Разве;36;0,0153601
смотреть;36;0,0153601
просто;36;0,0153601
шагами;36;0,0153601
сзади;36;0,0153601
случилось;36;0,0153601
хоть;36;0,0153601
просить;36;0,0153601
плечами;36;0,0153601
si;35;0,0149335
Старый;35;0,0149335
столу;35;0,0149335
домой;35;0,0149335
должна;35;0,0149335
вопросительно;35;0,0149335
дочь;35;0,0149335
вполне;35;0,0149335
могло;35;0,0149335
утра;35;0,0149335
столь;35;0,0149335
остановилась;35;0,0149335
мире;35;0,0149335
строго;35;0,0149335
тоном;35;0,0149335
хочешь;35;0,0149335
ногу;35;0,0149335
коли;35;0,0149335
испытывал;35;0,0149335
вошла;34;0,0145068
итти;34;0,0145068
особенности;34;0,0145068
ехал;34;0,0145068
общества;34;0,0145068
другим;34;0,0145068
оба;34;0,0145068
дядюшка;34;0,0145068
говоря;34;0,0145068
виноват;34;0,0145068
Очень;34;0,0145068
год;34;0,0145068
самом;34;0,0145068
раза;34;0,0145068
уехал;34;0,0145068
войск;34;0,0145068
орудия;34;0,0145068
собак;34;0,0145068
полку;33;0,0140801
любить;33;0,0140801
здоровье;33;0,0140801
взяв;33;0,0140801
разговора;33;0,0140801
пришел;33;0,0140801
людьми;33;0,0140801
всякий;33;0,0140801
одним;33;0,0140801
главное;33;0,0140801
армию;33;0,0140801
часов;33;0,0140801
проговорила;33;0,0140801
маленькая;33;0,0140801
русские;33;0,0140801
России;33;0,0140801
сказали;33;0,0140801
получил;33;0,0140801
Хорошо;33;0,0140801
испуганно;33;0,0140801
стол;33;0,0140801
любит;32;0,0136534
трудно;32;0,0136534
радости;32;0,0136534
неприятно;32;0,0136534
вероятно;32;0,0136534
сердце;32;0,0136534
смерти;32;0,0136534
ногами;32;0,0136534
